,GDP growth (annual %),date,United States GDP (Dollars)
0,2.29999999999968,1961-01-01,563300000000.0
1,6.10000000000012,1962-01-01,605100000000.0
2,4.39999999999992,1963-01-01,638600000000.0
3,5.800000000000299,1964-01-01,685800000000.0
4,6.399999999999759,1965-01-01,743700000000.0
5,6.50000000000028,1966-01-01,815000000000.0
6,2.5000000000000298,1967-01-01,861700000000.0
7,4.7999999999995895,1968-01-01,942500000000.0
8,3.0999999999999903,1969-01-01,1019900000000.0
9,-0.32276083561664803,1970-01-01,1073303000000.0
10,3.2933623870393403,1971-01-01,1164850000000.0
11,5.25889534832913,1972-01-01,1279110000000.0
12,5.64571947321326,1973-01-01,1425376000000.0
13,-0.540546529606971,1974-01-01,1545243000000.0
14,-0.205464005057081,1975-01-01,1684904000000.0
15,5.38813922012807,1976-01-01,1873412000000.0
16,4.624159211772559,1977-01-01,2081826000000.0
17,5.53530269624309,1978-01-01,2351599000000.0
18,3.16615026772367,1979-01-01,2627334000000.0
19,-0.256751936461413,1980-01-01,2857307000000.0
20,2.53771870053738,1981-01-01,3207042000000.0
21,-1.8028744520173503,1982-01-01,3343789000000.0
22,4.58392730884007,1983-01-01,3634038000000.0
23,7.2366200040106206,1984-01-01,4037613000000.0
24,4.16965594529771,1985-01-01,4338979000000.0
25,3.4626517212670898,1986-01-01,4579631000000.0
26,3.45957255449522,1987-01-01,4855215000000.0
27,4.177046383082,1988-01-01,5236438000000.0
28,3.6726563283844103,1989-01-01,5641580000000.0
29,1.88596032430949,1990-01-01,5963144000000.0
30,-0.10825910470552498,1991-01-01,6158129000000.0
31,3.52244248662824,1992-01-01,6520327000000.0
32,2.75284432663625,1993-01-01,6858559000000.0
33,4.02883906807251,1994-01-01,7287236000000.0
34,2.6842871338757,1995-01-01,7639749000000.0
35,3.7725013199817004,1996-01-01,8073122000000.0
36,4.44721633956435,1997-01-01,8577554457000.0
37,4.48140755308913,1998-01-01,9062818202000.0
38,4.75323599078349,1999-01-01,9630664202000.0
39,4.1274840114197495,2000-01-01,10252345464000.0
40,0.998340800315447,2001-01-01,10581821399000.0
41,1.7416952430289399,2002-01-01,10936419054000.0
42,2.86121077200275,2003-01-01,11458243878000.0
43,3.7988911226479303,2004-01-01,12213729147000.0
44,3.51321379594287,2005-01-01,13036640230000.0
45,2.85497229827358,2006-01-01,13814611414000.0
46,1.87617145523009,2007-01-01,14451858656000.0
47,-0.136579804247219,2008-01-01,14712844084000.0
48,-2.5367570696286204,2009-01-01,14448933025000.0
49,2.56376656343198,2010-01-01,14992052727000.0
50,1.55083550424324,2011-01-01,15542581104000.0
51,2.24954585097743,2012-01-01,16197007349000.0
52,1.84208107011949,2013-01-01,16784849196000.0
53,2.52597345040711,2014-01-01,17527163695000.0
54,2.9080218612834305,2015-01-01,18224704440000.0
55,1.63783845703892,2016-01-01,18714960538000.0
56,2.36980078440416,2017-01-01,19519353692000.0
57,2.92732573232968,2018-01-01,20580159776000.0
58,2.16117628829923,2019-01-01,21433226000000.0
