,GDP (Dollars),date,Adjusted savings: natural resources depletion (% of GNI),Agricultural land (% of land area),CO2 emissions (metric tons per capita),"Energy imports, net (% of energy use)",Energy use (kg of oil equivalent per capita),"Fertility rate, total (births per woman)",Food production index (2004-2006 = 100),GDP growth (annual %),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Patent applications, residents",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of overweight (% of adults)
0,2857307000000.0,1980.0,4.01775099764002,46.7479932219379,20.7864877412257,13.9313696085034,7942.253017933771,1.8395,69.19,-0.256751936461413,6.0,73.609756097561,15.0,62098.0,11.556541899737502,24.8090394542612,44.0
1,3207042000000.0,1981.0,2.71546506011797,46.7479932219379,19.7667641742132,11.801346091942001,7647.5380535678505,1.8119999999999998,75.38,2.53771870053738,5.900000095367429,74.009756097561,14.4,62404.0,11.6858364944201,25.053717889367398,44.7
2,3343789000000.0,1982.0,1.3486338433157399,47.1013084455004,18.5904952301609,9.04865570986495,7259.07889874991,1.8275,75.2,-1.8028744520173503,5.900000095367429,74.3609756097561,13.9,63316.0,11.7987714612327,25.293701468288997,45.3
3,3634038000000.0,1983.0,1.8363945607764,47.1013084455004,18.5715437097933,12.7705810086971,7199.1185327128405,1.7990000000000002,64.44,4.58392730884007,5.800000190734861,74.4634146341463,13.4,59391.0,11.905936814756801,25.526042258073,46.0
4,4037613000000.0,1984.0,1.71031268037323,47.1013084455004,18.976750268207397,9.513538801319939,7443.320016961729,1.8065,73.69,7.2366200040106206,5.699999809265139,74.5634146341464,13.0,61841.0,12.0164485180539,25.7480106911702,46.7
5,4338979000000.0,1985.0,1.47092376139023,47.1013084455004,18.8823127427246,11.537193753526099,7456.2629032800405,1.844,77.88,4.16965594529771,5.5,74.5634146341464,12.7,63673.0,12.131667455475302,25.9771851825972,47.4
6,4579631000000.0,1986.0,0.5853270663560379,47.1013084455004,18.7207227161615,12.0486465321885,7376.096238334591,1.8375,73.72,3.4626517212670898,5.400000095367429,74.6146341463415,12.4,65195.0,12.2502403041832,26.218369771240397,48.1
7,4855215000000.0,1987.0,0.9004740272813191,46.61533623904899,19.3503344229412,13.854979134533501,7622.17301652159,1.8719999999999999,73.17,3.45957255449522,5.199999809265139,74.7658536585366,12.1,68315.0,12.3609815352887,26.453767676679398,48.8
8,5236438000000.0,1988.0,0.652355081419847,46.61533623904899,20.0104134086438,15.668952653383998,7849.75397036389,1.9340000000000002,69.02,4.177046383082,5.09999990463257,74.7658536585366,11.9,75192.0,12.463377866808901,26.6950614480247,49.5
9,5641580000000.0,1989.0,0.719443369941549,46.61533623904899,20.075769778663698,16.9955043022868,7890.28720236287,2.0140000000000002,75.91,3.6726563283844103,5.0,75.0170731707317,11.6,82370.0,12.553206505831499,26.948365316586198,50.2
10,5963144000000.0,1990.0,0.835636423379818,46.61533623904899,19.322751180780603,13.7096309133924,7671.7730657832,2.081,77.94,1.88596032430949,4.9000000954,75.2146341463415,11.2,90643.0,12.627783983875698,27.2545136128993,50.9
11,6158129000000.0,1991.0,0.593547958172917,46.61533623904899,19.0561631861681,14.9427076463954,7631.46780588265,2.0625,77.15,-0.10825910470552498,4.8000001907,75.3658536585366,10.9,87955.0,12.6712559239854,27.6211491261017,51.7
12,6520327000000.0,1992.0,0.621877623202978,46.4494877147624,19.1394372782772,16.3385296201642,7677.4014010931205,2.046,84.23,3.52244248662824,4.5999999046,75.6170731707317,10.5,92425.0,12.695214280064,28.006891612148102,52.4
13,6858559000000.0,1993.0,0.5894178363538389,46.1786054311843,19.3470829142925,20.287092675434,7709.49658932206,2.0195,76.98,2.75284432663625,4.5,75.41951219512201,10.1,99955.0,12.7025444314064,28.378658712342897,53.2
14,7287236000000.0,1994.0,0.473865810624333,45.981093923327506,19.3608920479162,18.796003762122602,7757.830822495691,2.0015,89.19,4.02883906807251,4.3000001907,75.619512195122,9.8,107233.0,12.6920733689759,28.7288076375484,54.0
