,World GDP,United States GDP (Dollars),United Kingdom GDP (Dollars),Japan GDP (Dollars),Germany GDP (Dollars),China GDP (Dollars),date
1960 [YR1960],1369443925011.89,543300000000,73233967692.1028,44307342950.4,..,59716467625.3148,1960.0
1961 [YR1961],1425115081577.84,563300000000,77741965703.3544,53508617739.3778,..,50056868957.6732,1961.0
1962 [YR1962],1530068789423.03,605100000000,81247564156.8246,60723018683.7333,..,47209359005.6057,1962.0
1963 [YR1963],1648304927596.87,638600000000,86561961812.3249,69498131797.3333,..,50706799902.5104,1963.0
1964 [YR1964],1805673902285.74,685800000000,94407558351.1616,81749006381.5111,..,59708343488.5043,1964.0
1965 [YR1965],1966277080224.85,743700000000,101824755078.991,90950278257.7778,..,70436266146.7219,1965.0
1966 [YR1966],2133345298195.83,815000000000,108572752102.045,105628070343.111,..,76720285969.6157,1966.0
1967 [YR1967],2270951628945.99,861700000000,113116888210.787,123781880217.6,..,72881631326.6715,1967.0
1968 [YR1968],2451449172889.88,942500000000,107759910067.889,146601072685.511,..,70846535055.6503,1968.0
1969 [YR1969],2704652070727.44,1019900000000,116464702803.218,172204199480.889,..,79705906247.4612,1969.0
1970 [YR1970],2961058584800.38,1073303000000.0,130671946244.3,212609187919.44397,215838448137.65802,92602973434.0726,1970.0
1971 [YR1971],3273349657869.51,1164850000000.0,148113896325.14,240151807460.24103,249985055484.303,99800958648.1436,1971.0
1972 [YR1972],3777608298767.36,1279110000000.0,169965034965.035,318031297492.352,299801542047.476,113687586299.051,1972.0
1973 [YR1973],4609187412816.62,1425376000000.0,192537971582.558,432082670450.719,398374021953.89703,138544284708.957,1973.0
1974 [YR1974],5315975951491.42,1545243000000.0,206131369798.971,479625998613.406,445303484241.55396,144182133387.722,1974.0
1975 [YR1975],5920346810454.43,1684904000000.0,241756637168.142,521541905673.25104,490636517211.225,163431551779.761,1975.0
1976 [YR1976],6438212557515.45,1873412000000.0,232614555256.065,586161858999.671,519754453161.411,153940455341.50598,1976.0
1977 [YR1977],7277590659724.76,2081826000000.0,263066457352.172,721411786536.8141,600498238019.035,174938098826.569,1977.0
1978 [YR1978],8584658502250.43,2351599000000.0,335883029721.956,1013612173518.84,740469983446.933,149540752829.268,1978.0
1979 [YR1979],9971331091928.26,2627334000000.0,438994070309.19104,1055012119526.33,881345176608.6859,178280594413.043,1979.0
1980 [YR1980],11227787361930.0,2857307000000.0,564947710899.3729,1105385973763.87,950290856466.538,191149211575.0,1980.0
1981 [YR1981],11624037160585.5,3207042000000.0,540765675241.15796,1218988935129.81,800472055387.278,195866382432.54,1981.0
1982 [YR1982],11514725665438.4,3343789000000.0,515048916841.37,1134518001884.56,776576439106.9559,205089699858.779,1982.0
1983 [YR1983],11747282629212.4,3634038000000.0,489618008185.539,1243323592058.83,770684323247.798,230686747153.257,1983.0
1984 [YR1984],12180064946161.3,4037613000000.0,461487097632.349,1318381627003.76,725111123634.115,259946510957.143,1984.0
1985 [YR1985],12793526857410.8,4338979000000.0,489285164271.04706,1398892744820.69,732534887058.198,309488028132.653,1985.0
1986 [YR1986],15118751369432.8,4579631000000.0,601452653180.885,2078953333673.55,1046259374943.71,300758100107.24603,1986.0
1987 [YR1987],17201254955042.3,4855215000000.0,745162608269.325,2532808573157.03,1298176105549.51,272972974764.57397,1987.0
1988 [YR1988],19244410731051.8,5236438000000.0,910122732123.7991,3071683013178.91,1401233225303.49,312353631207.819,1988.0
1989 [YR1989],20087689311360.4,5641580000000.0,926884816753.927,3054914166263.18,1398967436804.33,347768051311.741,1989.0
1990 [YR1990],22626736590326.0,5963144000000.0,1093169389204.55,3132817652848.04,1771671206875.68,360857912565.966,1990.0
1991 [YR1991],23966885541451.1,6158129000000.0,1142797178130.51,3584420077100.84,1868945197407.19,383373318083.62396,1991.0
1992 [YR1992],25453189198265.1,6520327000000.0,1179659529659.53,3908809463463.86,2131571696931.75,426915712711.146,1992.0
